Time,Athlete,Nationality,Location,Date
04:17.3,Anne Smith,GBR,"Chiswick, Great Britain",6/3/67
04:15.6,Maria Gommers,HOL,"Sittard, Netherlands",10/24/67
04:12.4,Paola Pigni,ITA,"Milan, Italy",7/2/69
04:10.7,Jaroslava Jehlickova,TCH,"Athens, Greece",9/20/69
04:09.6,Karin Burneleit,GDR,"Helsinki, Finland",8/15/71
04:06.9,Lyudmila Bragina,URS,"Moscow, Soviet Union",7/18/72
04:06.5,Lyudmila Bragina,URS,"Munich, Germany",9/4/72
04:05.1,Lyudmila Bragina,URS,"Munich, Germany",9/7/72
04:01.4,Lyudmila Bragina,URS,"Munich, Germany",9/9/72
03:56.0,Tatyana Kazankina,URS,"Podolsk, Soviet Union",6/28/76
03:55.0,Tatyana Kazankina,URS,"Moscow, Soviet Union",7/6/80
03:52.47,Tatyana Kazankina,URS,"Zurich, Switzerland",8/13/80
03:50.46,Qu Yunxia,CHN,"Beijing, China",9/11/93
03:50.07,Genzebe Dibaba,ETH,"Fontvieille, Monaco",7/17/15
# Series: FE1500M,,,,
# Event: Women's 1500 Meters,,,,
