Time,Athlete,Nationality,Location,Date
27:39.4,Ron Clarke,AUS,"Oslo, Norway",7/14/65
27:38.4,Lasse Viren,FIN,"Munich, Germany",9/3/72
27:30.8,David Bedford,GBR,"London, United Kingdom",7/13/73
27:30.5,Samson Kimobwa,KEN,"Helsinki, Finland",6/30/77
27:22.4,Henry Rono,KEN,"Vienna, Austria",6/11/78
27:13.81,Fernando Mamede,POR,"Stockholm, Sweden",7/2/84
27:08.23,Arturo Barrios,MEX,"Berlin, Germany",8/18/89
27:07.91,Richard Chelimo,KEN,"Stockholm, Sweden",5/7/93
26:58.38,Yobes Ondieki,KEN,"Oslo, Norway",7/10/93
26:52.23,William Sigei,KEN,"Oslo, Norway",7/22/94
26:43.53,Haile Gebrselassie,ETH,"Hengelo, Netherlands",6/5/95
26:38.08,Salah Hissou,MAR,"Brussels, Belgium",8/23/96
26:31.32,Haile Gebrselassie,ETH,"Oslo, Norway",7/4/97
26:27.85,Paul Tergat,KEN,"Brussels, Belgium",8/22/97
26:22.75,Haile Gebrselassie,ETH,"Hengelo, Netherlands",6/1/98
26:20.31,Kenenisa Berkele,ETH,"Ostrava, Czech Republic",6/8/04
26:17.53,Kenenisa Berkele,ETH,"Brussels, Belgium",8/26/05
# Series: MA10000M,,,,
# Event: Men's 10000 Meters,,,,
